ST_CASE,MONTH,DAY,HOUR
10735,11,5,3
10736,10,21,18
10737,10,21,21
10738,10,22,3
10739,10,22,1
10740,10,22,2
10741,10,22,11
10742,10,22,14
10743,10,23,20
10744,10,23,18
10745,9,1,7
10746,10,23,18
10747,10,25,18
10748,10,25,2
10749,10,26,13
10750,11,1,15
10751,11,1,22
10752,11,1,10
10753,11,2,17
10754,11,2,20
10755,11,2,13
10756,11,2,20
10757,11,3,8
10758,11,3,1
10759,11,3,19
10760,11,4,0
10761,11,4,7
10762,11,5,4
10763,11,5,20
10764,11,5,22
10765,11,5,2
10766,11,5,2
10767,11,5,10
10768,11,6,22
10769,11,6,15
10770,11,6,5
10771,11,7,12
10772,11,7,15
10773,11,8,9
10774,11,8,18
10775,11,10,22
10776,11,10,23
10777,11,10,14
10778,11,11,21
10779,11,11,4
10780,11,11,1
10781,11,12,23
10782,11,12,5
10783,11,13,19
10784,11,13,21
10785,11,14,16
10786,11,15,0
10787,11,15,23
10788,11,14,10
10789,11,15,12
10790,11,15,17
10791,11,16,19
10792,11,17,22
10793,11,17,14
10794,11,14,11
10795,11,18,22
10796,11,18,0
10797,11,19,1
10798,11,19,23
10799,11,19,22
10801,11,19,2
10802,11,19,0
10803,11,20,19
10804,11,20,1
10805,11,21,21
10806,11,21,15
10807,11,21,13
10808,11,22,17
10809,11,22,1
10810,11,23,18
10811,11,23,18
10812,11,23,14
10813,11,26,23
10814,11,26,16
10815,11,25,1
10816,12,31,23
10817,11,25,13
10818,11,25,0
10819,11,24,18
10820,11,27,14
10821,11,27,7
10822,11,28,13
10823,11,28,2
10824,11,28,12
10825,11,29,17
10826,11,30,20
10827,12,1,18
10828,12,2,15
10829,12,2,7
10830,12,2,19
10831,12,2,1
10832,12,3,0
10833,12,4,17
10834,12,4,2
10835,12,4,7
10836,12,5,10
10837,12,5,18
10838,12,6,5
10839,12,6,10
10840,12,7,16
10841,12,7,6
10842,12,7,11
10843,12,9,4
10844,12,10,23
10845,12,11,20
10846,12,11,17
10847,12,13,10
10848,12,14,16
10849,12,14,16
10850,12,16,18
10851,12,18,1
10852,12,14,17
10853,12,18,18
10854,12,18,18
10855,12,19,6
10856,12,19,21
10857,12,19,17
10858,12,20,12
10859,12,20,10
10860,12,20,20
10861,12,21,18
10862,12,24,21
10863,12,24,19
10864,12,23,15
10865,12,23,0
10866,12,22,18
10867,12,22,7
10868,12,22,10
10869,12,22,17
10870,12,25,21
10871,12,16,13
10872,12,19,20
10873,12,21,12
10874,12,17,11
10875,12,17,13
10876,12,28,14
10877,12,26,17
10878,12,27,16
10879,12,25,22
10880,12,28,4
10881,12,29,13
10882,12,29,1
10883,12,30,7
10884,12,31,18
10885,12,31,8
10886,12,31,17
10887,6,25,9
10888,8,4,13
10889,9,17,17
10890,10,16,19
10891,10,14,19
10892,8,10,8
10893,10,3,12
10894,10,16,16
10895,10,26,16
10896,9,12,19
10897,9,16,16
10898,9,25,17
10899,10,9,19
10900,10,11,11
10901,8,27,22
10902,10,7,14
10903,6,9,9
10904,3,2,15
10905,12,2,16
10906,12,26,17
10907,12,30,4
10908,12,26,14
10909,7,27,16
10910,10,3,20
10911,4,29,8
10912,10,31,19
10913,1,26,23
10914,4,30,10
10915,1,12,9
10916,5,22,20
10917,7,13,4
10918,7,19,10
10919,9,19,22
20001,1,5,21
20002,1,11,17
20003,1,25,17
20004,1,26,16
20005,1,27,13
20006,2,25,15
20007,2,22,11
20008,3,2,8
20009,3,4,22
20010,3,19,1
20011,3,24,22
20012,3,27,99
20013,4,17,0
20014,4,23,0
20015,4,29,8
20016,4,30,22
20017,5,9,5
20018,5,9,12
20019,5,13,17
20020,5,18,14
20021,5,19,11
20022,5,24,99
20023,5,29,13
20024,5,30,2
20025,5,30,17
20026,6,4,14
20027,6,10,9
20028,6,15,23
20029,6,28,7
20030,6,30,0
20031,7,1,5
20032,7,5,17
20033,7,9,0
20034,7,17,0
20035,7,24,5
20036,7,28,17
20037,7,29,16
20038,7,29,23
20039,7,30,22
20040,8,8,22
20041,8,13,0
20042,8,18,9
20043,8,21,1
20044,8,25,19
20045,8,31,3
20046,8,28,4
20047,9,1,17
20048,9,6,17
20049,9,16,6
20052,10,5,20
20053,10,6,0
20054,10,12,2
20055,10,18,0
20056,10,21,22
20057,10,24,13
20058,11,1,12
20059,8,27,2
20060,12,11,20
20061,8,19,17
20062,11,4,9
20063,11,8,17
20064,11,24,5
20065,12,2,12
20066,12,13,19
20067,12,15,1
20068,12,16,8
20069,12,21,11
20070,12,21,14
20071,11,9,22
20072,12,9,7
20073,12,28,13
20074,8,5,3
20075,7,12,14
20076,10,25,20
20077,7,17,0
40001,1,1,0
40002,1,1,2
40003,1,1,3
40004,1,1,15
40005,1,1,20
40006,1,1,20
40008,1,3,14
40009,1,3,15
40010,1,4,12
40011,1,4,13
40012,1,4,8
40013,1,5,17
40015,1,6,7
40016,1,6,20
40017,1,7,14
40018,1,8,7
40019,1,8,23
40020,1,10,12
40021,1,11,10
40022,1,12,12
40023,1,12,12
40024,1,12,18
40025,1,13,20
40026,1,14,7
40027,1,14,10
40028,1,14,10
40029,1,14,18
40030,1,14,22
40031,1,15,14
40032,1,15,14
40033,1,15,15
40034,1,15,16
40035,1,16,19
40036,1,17,16
40037,1,20,0
40038,1,21,17
40039,1,21,19
40040,1,21,22
40041,1,21,22
40042,1,22,1
40043,1,22,13
40044,1,22,15
40045,1,22,19
40046,1,23,3
40047,1,24,5
40048,1,25,17
40049,1,26,10
40050,1,27,2
40051,1,27,17
40052,1,27,20
40054,1,28,16
40055,1,29,10
40056,1,29,14
40057,1,29,19
40058,1,29,21
40060,1,30,18
40061,1,31,10
40062,1,4,6
40063,1,6,9
40064,1,6,7
40066,1,7,20
40067,1,14,1
40068,1,14,21
40069,1,14,5
40070,1,18,9
40071,1,28,3
40073,1,29,20
40074,1,29,20
40075,1,30,11
40076,1,30,16
40077,1,22,21
40078,1,29,18
40080,1,3,12
40081,1,7,22
40082,1,7,5
40083,1,9,19
40084,1,8,2
40085,1,13,17
40086,1,17,15
40087,1,20,99
40088,1,20,14
40089,1,21,23
40090,1,23,22
40091,1,27,12
40092,1,30,99
40093,1,31,20
40094,2,1,0
40095,2,1,10
40096,2,1,21
40097,2,2,8
40098,2,3,9
40099,2,3,18
40100,2,4,17
40101,2,4,22
40102,2,5,10
40103,2,5,15
40104,2,5,19
40105,2,6,7
40106,2,6,22
40107,2,7,13
40108,2,8,15
40109,2,8,16
40110,2,8,18
40111,2,8,19
40112,2,8,22
40113,2,9,7
40114,2,9,20
40115,2,9,22
40116,2,10,16
40117,2,10,7
40118,2,11,7
40119,2,11,8
40120,2,11,19
40121,2,11,19
40122,2,12,20
40123,2,12,21
40124,2,12,22
40125,2,13,11
40126,2,16,11
40127,2,16,13
40128,2,17,20
40129,2,18,11
40130,2,18,16
40131,2,19,4
40132,2,19,5
40133,2,19,10
40134,2,19,16
40135,2,20,0
40136,2,20,2
40137,2,20,20
40138,2,22,2
40139,2,22,5
40140,2,22,10
40141,2,22,14
40142,2,23,21
40143,2,23,8
40144,2,24,9
40145,2,26,12
40146,2,27,16
40147,2,28,17
40148,2,28,19
40149,1,8,19
40150,2,22,10
40151,1,6,16
40152,1,24,17
40153,2,8,20
40154,2,26,11
40155,2,7,11
40156,2,24,18
40157,2,20,17
40158,2,15,11
40159,1,11,19
40160,2,22,14
40161,2,9,8
40162,2,19,4
40163,2,27,16
40164,2,13,2
40165,3,1,14
40166,3,2,6
40167,3,2,10
40168,3,1,8
40169,3,1,15
40170,3,1,16
40171,3,1,22
40172,3,2,13
40173,3,2,19
40174,3,2,21
40175,3,3,13
40176,3,4,0
40178,3,5,2
40179,3,5,15
40180,3,5,21
40181,3,6,0
40182,3,6,2
40183,3,7,23
40185,3,8,7
40186,3,8,9
40187,3,8,16
40188,3,9,3
40189,3,9,11
40190,3,9,12
40191,3,9,22
40192,3,10,12
40193,3,12,5
40194,3,12,11
40195,3,12,19
40196,3,14,2
40197,3,15,3
40198,3,15,11
40199,3,16,20
40200,3,16,21
40201,3,17,11
40202,3,17,14
40203,3,17,21
40204,3,18,0
40205,3,19,4
40206,3,19,9
40207,3,19,13
40208,3,20,11
40209,3,21,12
40210,3,21,22
40211,3,22,14
40212,3,22,17
40213,3,23,1
40214,3,23,6
40215,3,23,13
40216,3,24,1
40217,3,24,6
40218,3,24,19
40219,3,25,13
40220,3,25,14
40221,3,25,20
40222,3,25,20
40223,3,26,19
40224,3,26,21
40225,3,26,21
40226,3,26,23
40227,3,27,17
40228,3,27,22
40229,3,29,7
40230,3,29,10
40231,3,30,10
40232,3,30,16
40233,3,30,17
40234,3,30,18
40235,3,30,19
40236,3,30,20
40237,3,31,6
40238,3,31,14
40239,3,31,17
40240,4,1,11
40241,4,1,16
40242,4,1,19
40243,4,1,21
40244,4,1,23
40245,4,2,17
40246,4,3,16
40247,4,3,21
40248,4,4,5
40249,4,4,11
40250,4,5,14
40251,4,5,18
40252,4,6,14
40253,4,6,15
40254,4,6,15
40255,4,6,18
40256,4,7,17
40257,4,8,12
40258,4,8,12
40259,4,8,14
40260,4,8,18
40261,4,8,19
40262,4,8,19
40263,4,8,20
40264,4,9,18
40265,4,9,19
40266,4,10,10
40267,4,11,4
40268,4,11,12
40269,4,12,5
40270,4,12,20
40271,4,12,20
40272,4,12,22
40273,4,13,0
40274,4,13,17
40275,4,14,3
40276,4,14,12
40277,4,14,19
40278,4,14,21
40279,4,15,0
40280,4,15,12
40281,4,15,12
40282,4,16,12
40283,4,16,19
40284,4,16,19
40285,4,17,21
40286,4,17,22
40287,4,18,0
40288,4,18,17
40289,4,18,18
40290,4,19,15
40291,4,19,15
40293,4,20,4
40294,4,20,8
40295,4,20,19
40296,4,21,0
40297,4,21,0
40298,4,21,8
40299,4,21,20
40300,4,21,20
40301,4,21,20
40302,4,21,21
40303,4,22,8
40304,4,22,16
40305,4,22,21
40306,4,24,4
40307,4,24,12
40309,4,24,21
40310,4,25,5
40311,4,25,10
40312,4,25,22
40313,4,26,20
40314,4,27,10
40315,4,26,14
40316,4,27,15
40317,4,27,16
40318,4,27,20
40319,4,28,2
40320,4,28,21
40321,4,29,0
40322,4,29,7
40323,4,29,14
40324,4,29,18
40325,4,29,23
40326,4,30,10
40327,4,30,13
40328,4,30,21
40329,4,30,22
40330,5,1,0
40331,2,2,99
40332,2,3,16
40333,2,4,18
40334,2,5,6
40335,2,5,15
40336,2,6,20
40337,2,9,17
40338,2,11,8
40339,2,11,18
40340,2,12,18
40342,2,14,14
40343,2,15,11
40344,2,19,0
40345,2,19,6
40346,2,19,13
40347,2,22,18
40348,3,2,15
40349,3,3,11
40350,3,5,2
40351,2,13,12
40352,5,1,13
40353,5,2,6
40354,5,2,15
40355,5,2,12
40356,5,3,2
40357,5,4,3
40358,5,4,21
40359,5,4,22
40360,5,4,23
40361,5,6,1
40362,5,6,2
40363,5,6,19
40364,5,7,1
40365,5,7,22
40366,5,8,15
40367,5,8,23
40368,5,9,12
40369,5,10,4
40370,5,10,11
40371,5,11,1
40372,5,12,16
40373,5,12,22
40374,5,13,6
40375,5,13,9
40376,5,13,14
40377,5,13,15
40378,5,13,20
40379,5,13,21
40380,5,14,2
40381,5,14,15
40382,5,15,22
40383,5,17,1
40384,5,17,20
40385,5,17,20
40386,5,18,6
40387,5,18,14
40388,5,18,16
40389,5,18,17
40390,5,19,10
40391,5,19,12
40392,5,20,4
40393,5,20,22
40394,5,21,6
40395,5,21,14
40396,5,21,16
40397,5,21,19
40398,5,21,21
40399,5,21,21
40401,5,22,16
40402,5,23,4
40404,5,23,18
40405,5,24,9
40406,5,24,21
40407,5,25,15
40408,5,27,20
40409,5,28,1
40410,5,28,23
40411,5,29,22
40412,5,30,22
40413,5,31,15
40414,5,31,16
40416,3,8,14
40417,3,11,13
40418,3,13,21
40419,3,14,15
40420,3,16,20
40421,3,17,23
40422,3,18,9
40423,3,18,16
40424,3,19,17
40425,3,19,6
40426,3,22,3
40428,3,27,5
40429,3,30,17
40430,4,5,1
40431,6,1,4
40432,6,1,6
40433,6,1,10
40434,6,1,14
40435,6,1,16
40436,6,3,2
40437,6,3,4
40438,6,3,12
40439,6,4,11
40440,6,4,16
40441,6,4,22
40442,6,4,23
40443,6,5,6
40444,6,7,3
40445,6,7,7
40446,6,10,22
40447,6,11,10
40448,6,11,13
40449,6,11,23
40450,6,12,1
40451,6,12,13
40452,6,12,23
40453,6,13,11
40454,6,13,11
40455,6,14,12
40456,6,14,21
40457,6,15,17
40458,6,13,7
40459,6,16,20
40460,6,17,16
40461,6,17,19
40462,6,17,20
40463,6,18,9
40464,6,18,14
40465,6,18,17
40467,6,23,0
40468,6,23,12
40469,6,24,3
40470,6,24,5
40471,6,25,2
40472,6,25,14
40473,6,25,16
40474,6,25,23
40475,6,26,14
40476,6,26,17
40477,6,26,20
40478,6,27,0
40479,3,27,1
40480,6,27,19
40481,6,28,10
40482,6,28,19
40483,6,28,23
40484,6,29,12
40485,6,29,13
40486,6,29,21
40487,6,30,20
40488,6,30,20
40489,7,1,10
40490,7,1,10
40491,7,1,12
40492,7,2,2
40493,7,2,23
40494,7,3,8
40495,7,3,10
40496,7,3,12
40497,7,4,9
40498,7,4,23
40499,7,5,11
40500,7,5,20
40501,7,6,18
40502,7,7,19
40503,7,8,12
40504,7,9,22
40505,7,9,23
40506,7,10,6
40507,7,10,6
40508,7,10,20
40509,7,12,3
40510,7,15,16
40511,7,15,21
40512,7,16,20
40513,7,17,0
40514,7,17,14
40515,7,18,13
40516,7,18,17
40517,7,19,9
40518,7,20,0
40519,7,20,5
40521,7,21,1
40522,7,21,4
40523,7,21,21
40524,7,21,22
40525,7,22,1
40526,7,22,9
40527,7,23,20
40529,7,24,9
40530,7,24,10
40531,7,24,16
40532,7,24,18
40533,7,25,0
40534,7,25,6
40535,7,26,8
40536,7,26,14
40537,7,26,15
40538,7,26,15
40539,7,28,15
40540,7,30,22
40541,7,31,1
40542,7,31,1
40543,7,31,2
40544,7,31,15
40545,7,31,15
40546,7,31,20
40547,4,9,1
40548,8,1,18
40549,8,1,20
40550,8,2,15
40551,8,3,20
40552,8,3,21
40553,8,3,23
40554,8,4,7
40555,8,4,9
40556,8,4,11
40557,8,4,11
40558,8,5,20
40559,8,6,5
40560,8,6,6
40561,8,6,14
40562,8,6,22
40563,8,7,19
40564,8,7,22
40566,8,8,5
40567,8,9,12
40568,8,10,5
40569,8,10,22
40570,8,11,9
40571,8,11,4
40572,8,11,20
40573,8,11,21
40574,8,12,12
40575,8,12,15
40576,8,10,21
40577,8,12,22
40578,8,13,3
